posting_id,title,company,location,description,posted_date,salary_range,source
JOB00455,BI Analyst,Lamb Martin and Kim Softwares,Bangalore,"The ideal candidate is proficient in ETL, PostgreSQL, Airflow, SQL, Python and can translate business questions into data-driven answers. Experience with Machine Learning, Git is a plus.",2025-12-01,,LinkedInSim
JOB00309,Data Analyst - Entry Level,Phillips Spence and Barrett Analytics,noida ,"The ideal candidate is proficient in Excel, Communication Skills, VBA, PowerPoint and can translate business questions into data-driven answers. Experience with Pandas, Google Sheets, SQL is a plus.",12/05/2026,7-9 LPA,IndeedSim
JOB00695,Business Analyst,Price LLC Systems,"Bengaluru, Karnataka","We are looking for a Business Analyst to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.",29/01/2026,"INR 4,00,000 - 6,00,000",InternshalaSim
JOB00487,BI Analyst,Hartman Romero and Smith Softwares,Noida,"The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with PostgreSQL is a plus.","11 May, 2026",8-9 LPA,LinkedInSim
JOB00692,Marketing Data Analyst,Atkinson LLC Labs,Delhi,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Excel, Communication Skills, VBA, PowerPoint. Nice to have: AWS, Advanced Excel.",10/01/2026,₹3L - ₹5L PA,NaukriSim
JOB00175,Product Analyst,Ramirez-Bean Digital,pune,"We are looking for a Product Analyst to join our analytics team. Must have hands-on experience with Tableau, Data Warehousing, Snowflake, SQL. Prior internship experience preferred.",18/04/2026,"INR 4,00,000 - 5,00,000",NaukriSim
JOB00018,Data Analyst (Fresher),Flowers Martin and Kelly Labs,"Bengaluru, Karnataka","We are looking for a Data Analyst (Fresher) to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.",2025-08-11,,IndeedSim
JOB00710,Data Analyst (Fresher),Edwards-Williams Analytics,Remote,"We are looking for a Data Analyst (Fresher) to join our analytics team. Must have hands-on experience with Excel, Communication Skills, VBA, PowerPoint. Prior internship experience preferred.","03 February, 2026",₹8L - ₹10L PA,LinkedInSim
JOB00583,Associate Data Analyst,Martin-Ewing Digital,remote,"Join our growing data team! Skills needed: Tableau, Data Warehousing, Snowflake, SQL. Freshers with strong Python, R fundamentals encouraged to apply.",2025-09-23,Rs 6L to 9L per annum,IndeedSim
JOB00741,Marketing Data Analyst,Mueller Knight and Hodge Digital,pune,"Join our growing data team! Skills needed: AWS, SQL, dbt, Python, Git. Freshers with strong Advanced Excel fundamentals encouraged to apply.",04-Jul-2026,8-9 LPA,IndeedSim
JOB00531,Data Analyst - Entry Level,Hicks-Martinez Systems,Remote - India,"Data Analyst - Entry Level needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Tableau, Git exposure.",11/10/2025,,InternshalaSim
JOB00007,Analytics Associate,Blake and Sons Labs,mumbai ,"Analytics Associate needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for R, Data Warehousing exposure.",31-Mar-2026,₹3L - ₹4L PA,IndeedSim
JOB00330,Data Analyst - Entry Level,Herman-Walker Softwares,Gurugram,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Tableau, Data Warehousing, Snowflake, SQL. Nice to have: dbt, AWS, ETL.",2025-12-02,,LinkedInSim
JOB00530,Operations Analyst,Mckinney Graves and Thompson Technologies,New Delhi,"Join our growing data team! Skills needed: ETL, PostgreSQL, Airflow, SQL, Python. Freshers with strong Stakeholder Management fundamentals encouraged to apply.",Nov 2025,,IndeedSim
JOB00226,Marketing Data Analyst,Hernandez PLC Solutions,Gurugram,"We are looking for a Marketing Data Analyst to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.",19-Apr-2026,Rs 7L to 9L per annum,IndeedSim
JOB00062,Data Analyst,Powell LLC Systems,"hyderabad, TG","We are looking for a Data Analyst to join our analytics team. Must have hands-on experience with Excel, Communication Skills, VBA, PowerPoint. Prior internship experience preferred.",Mar 2026,,NaukriSim
JOB00411,Business Analyst,Kim Inc Technologies,"hyderabad, TG","Join our growing data team! Skills needed: ETL, PostgreSQL, Airflow, SQL, Python. Freshers with strong Pandas, Google Sheets fundamentals encouraged to apply.",Jan 2026,₹3L - ₹5L PA,LinkedInSim
JOB00642,Operations Analyst,Turner-Sharp Softwares,Chennai,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Excel, Communication Skills, VBA, PowerPoint. Nice to have: Stakeholder Management, Power BI, MySQL.",31/01/2026,,LinkedInSim
JOB00109,Business Analyst,Hancock and Sons Solutions,Remote - India,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong Looker, R, PostgreSQL fundamentals encouraged to apply.","15 November, 2025",₹5L - ₹6L PA,IndeedSim
JOB00107,Data Analyst,Wright Garcia and Deleon Solutions,New Delhi,"We are looking for a Data Analyst to join our analytics team. Must have hands-on experience with AWS, SQL, dbt, Python, Git. Prior internship experience preferred.",20/04/2026,6-7 LPA,NaukriSim
JOB00634,Reporting Analyst,Higgins-Smith Digital,"hyderabad, TG","Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Stakeholder Management, Excel, Power BI, SQL. Nice to have: ETL, Data Warehousing.",Dec 2025,,InternshalaSim
JOB00091,Junior Data Analyst,Turner Riggs and Roman Digital,Bangalore,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Statistics, Pandas, A/B Testing, Python, Machine Learning. Nice to have: Looker, MySQL.",Sep 2025,5-6 LPA,InternshalaSim
JOB00440,Operations Analyst,King-York Technologies,Pune,"The ideal candidate is proficient in Tableau, Data Warehousing, Snowflake, SQL and can translate business questions into data-driven answers. Experience with Azure, R is a plus.",21-Jun-2026,,IndeedSim
JOB00053,Junior Data Analyst,Chapman and Sons Systems,noida ,"Junior Data Analyst needed for a fast-paced fintech startup. Core stack: Tableau, Data Warehousing, Snowflake, SQL. Bonus points for PowerPoint exposure.",30-Jun-2026,₹8L - ₹10L PA,IndeedSim
JOB00637,Marketing Data Analyst,Wilcox-Robertson Softwares,Mumbai,"Marketing Data Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Tableau exposure.",2025-11-12,6-8 LPA,LinkedInSim
JOB00032,Business Analyst,Carlson-Cruz Solutions,pune,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Stakeholder Management, Excel, Power BI, SQL. Nice to have: Airflow.",23/12/2025,,NaukriSim
JOB00268,Data Analyst,Jimenez Ltd Labs,Noida,"Data Analyst needed for a fast-paced fintech startup. Core stack: Statistics, Pandas, A/B Testing, Python, Machine Learning. Bonus points for Git, Google Sheets exposure.",2025-11-18,,InternshalaSim
JOB00280,BI Analyst,Reyes Chase and Jenkins Systems,"Bengaluru, Karnataka","Join our growing data team! Skills needed: AWS, SQL, dbt, Python, Git. Freshers with strong SQL fundamentals encouraged to apply.",Dec 2025,Rs 6L to 8L per annum,IndeedSim
JOB00427,Analytics Associate,Johnson-Wood Digital,Chennai,"Join our growing data team! Skills needed: Statistics, Pandas, A/B Testing, Python, Machine Learning. Freshers with strong Tableau, GCP, ETL fundamentals encouraged to apply.",22-Jan-2026,Rs 5L to 7L per annum,InternshalaSim
JOB00037,Operations Analyst,Smith-Bowen Systems,Chennai,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Statistics, Pandas, A/B Testing, Python, Machine Learning. Nice to have: Google Sheets, NumPy.",11/10/2025,,InternshalaSim
JOB00437,Product Analyst,Ortiz-Morgan Technologies,delhi ncr,"Join our growing data team! Skills needed: ETL, PostgreSQL, Airflow, SQL, Python. Freshers with strong Communication Skills fundamentals encouraged to apply.",05/09/2025,"INR 4,00,000 - 5,00,000",LinkedInSim
JOB00315,Data Analyst - Entry Level,Becker Taylor and Davis Labs,Mumbai,"The ideal candidate is proficient in ETL, PostgreSQL, Airflow, SQL, Python and can translate business questions into data-driven answers. Experience with Azure, Machine Learning is a plus.",19-May-2026,"INR 3,00,000 - 5,00,000",NaukriSim
JOB00009,Business Analyst,Garcia-James Labs,Remote,"Join our growing data team! Skills needed: Tableau, Data Warehousing, Snowflake, SQL. Freshers with strong Airflow, Machine Learning fundamentals encouraged to apply.",Sep 2025,Rs 4L to 7L per annum,NaukriSim
JOB00426,Product Analyst,Brown Romero and Collins Solutions,Remote,"Product Analyst needed for a fast-paced fintech startup. Core stack: AWS, SQL, dbt, Python, Git. Bonus points for Airflow, Google Sheets, MySQL exposure.",Jan 2026,6-7 LPA,LinkedInSim
JOB00018,Data Analyst (Fresher),Flowers Martin and Kelly Labs,"Bengaluru, Karnataka","We are looking for a Data Analyst (Fresher) to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.",2025-08-11,,IndeedSim
JOB00628,Associate Data Analyst,Mcdowell-Smith Digital,noida ,"Associate Data Analyst needed for a fast-paced fintech startup. Core stack: AWS, SQL, dbt, Python, Git. Bonus points for Airflow, Pandas exposure.",09-Sep-2025,Rs 8L to 11L per annum,IndeedSim
JOB00556,Operations Analyst,Moore Group Solutions,"Mumbai, MH","Join our growing data team! Skills needed: ETL, PostgreSQL, Airflow, SQL, Python. Freshers with strong Pandas, GCP fundamentals encouraged to apply.",30-Jun-2026,Rs 5L to 7L per annum,LinkedInSim
JOB00555,Reporting Analyst,Evans-Jones Softwares,Chennai,"Join our growing data team! Skills needed: Statistics, Pandas, A/B Testing, Python, Machine Learning. Freshers with strong SQL fundamentals encouraged to apply.",2026-06-06,5-7 LPA,InternshalaSim
JOB00488,Associate Data Analyst,Williams-Hughes Systems,Pune,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Tableau, Data Warehousing, Snowflake, SQL. Nice to have: Looker, Excel.","18 February, 2026",Rs 8L to 10L per annum,NaukriSim
JOB00561,BI Analyst,Rodriguez Allen and Martinez Systems,New Delhi,"BI Analyst needed for a fast-paced fintech startup. Core stack: AWS, SQL, dbt, Python, Git. Bonus points for Statistics, MySQL exposure.",28-Sep-2025,"INR 3,00,000 - 4,00,000",IndeedSim
JOB00563,Associate Data Analyst,Dougherty-Lin Analytics,"Bengaluru, Karnataka","Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: ETL, PostgreSQL, Airflow, SQL, Python. Nice to have: AWS.",12-Feb-2026,,InternshalaSim
JOB00447,Business Analyst,Henderson Cox and Cox Consulting,Mumbai,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: AWS, SQL, dbt, Python, Git. Nice to have: VBA.",Dec 2025,"INR 8,00,000 - 11,00,000",LinkedInSim
JOB00265,Business Analyst,Tran Inc Labs,Pune,"Business Analyst needed for a fast-paced fintech startup. Core stack: Statistics, Pandas, A/B Testing, Python, Machine Learning. Bonus points for Data Warehousing, PostgreSQL exposure.",2026-03-11,,NaukriSim
JOB00737,Data Analyst (Fresher),Frey Santos and Johnson Digital,Bengaluru,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with Airflow, GCP, Power BI is a plus.",Mar 2026,Rs 6L to 8L per annum,InternshalaSim
JOB00661,Marketing Data Analyst,Foster Inc Analytics,"Mumbai, MH","Marketing Data Analyst needed for a fast-paced fintech startup. Core stack: Tableau, Data Warehousing, Snowflake, SQL. Bonus points for Machine Learning, VBA exposure.",27/10/2025,₹7L - ₹8L PA,LinkedInSim
JOB00615,Business Analyst,Gilbert PLC Solutions,Chennai,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with Git, Snowflake is a plus.",2025-09-26,Rs 7L to 8L per annum,NaukriSim
JOB00673,Marketing Data Analyst,Nunez-Stephens Technologies,Remote - India,"We are looking for a Marketing Data Analyst to join our analytics team. Must have hands-on experience with Excel, Communication Skills, VBA, PowerPoint. Prior internship experience preferred.",11/08/2025,Rs 8L to 11L per annum,InternshalaSim
JOB00610,Reporting Analyst,Blevins-Ballard Solutions,Chennai,"The ideal candidate is proficient in Excel, Communication Skills, VBA, PowerPoint and can translate business questions into data-driven answers. Experience with Looker, Git is a plus.",06-Jun-2026,"INR 6,00,000 - 7,00,000",NaukriSim
JOB00389,Product Analyst,Bennett Group Consulting,Mumbai,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong PostgreSQL fundamentals encouraged to apply.",2025-09-10,Rs 7L to 8L per annum,IndeedSim
JOB00143,Data Analyst,Gibson Ltd Solutions,"hyderabad, TG","Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Tableau, Data Warehousing, Snowflake, SQL. Nice to have: GCP, MySQL.",Mar 2026,,IndeedSim
JOB00715,Product Analyst,Pena Cohen and Scott Labs,Chennai,"Join our growing data team! Skills needed: Statistics, Pandas, A/B Testing, Python, Machine Learning. Freshers with strong Looker, AWS, Git fundamentals encouraged to apply.",2025-09-30,Rs 5L to 8L per annum,IndeedSim
JOB00395,Associate Data Analyst,Ramos Nelson and Fischer Technologies,mumbai ,"Associate Data Analyst needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for Power BI, Git exposure.",21-Oct-2025,₹5L - ₹7L PA,InternshalaSim
JOB00620,Reporting Analyst,Russell Group Softwares,pune,"Reporting Analyst needed for a fast-paced fintech startup. Core stack: AWS, SQL, dbt, Python, Git. Bonus points for Snowflake exposure.",15-May-2026,5-8 LPA,InternshalaSim
JOB00476,Analytics Associate,Gilbert-Bullock Systems,Bangalore,"The ideal candidate is proficient in Tableau, Data Warehousing, Snowflake, SQL and can translate business questions into data-driven answers. Experience with Git is a plus.",07/02/2026,,IndeedSim
JOB00727,Associate Data Analyst,Durham Hopkins and Smith Labs,Bengaluru,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: AWS, SQL, dbt, Python, Git. Nice to have: ETL, Data Warehousing.",2026-06-29,Rs 6L to 8L per annum,NaukriSim
JOB00111,Reporting Analyst,Patton-Jenkins Labs,Mumbai,"We are looking for a Reporting Analyst to join our analytics team. Must have hands-on experience with Statistics, Pandas, A/B Testing, Python, Machine Learning. Prior internship experience preferred.",Nov 2025,,InternshalaSim
JOB00156,Associate Data Analyst,Hill Inc Systems,"hyderabad, TG","Associate Data Analyst needed for a fast-paced fintech startup. Core stack: Stakeholder Management, Excel, Power BI, SQL. Bonus points for A/B Testing exposure.",29/11/2025,,IndeedSim
JOB00020,Associate Data Analyst,Reid Ferguson and Sanchez Analytics,bangalore,"The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with Communication Skills, PostgreSQL is a plus.",Apr 2026,₹4L - ₹6L PA,LinkedInSim
JOB00690,Data Analyst (Fresher),Flores Butler and Hernandez Consulting,"Mumbai, MH","Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: ETL, PostgreSQL, Airflow, SQL, Python. Nice to have: Excel, PowerPoint.",Apr 2026,"INR 6,00,000 - 9,00,000",IndeedSim
JOB00026,Junior Data Analyst,Wilkerson-Day Labs,Gurgaon,"Junior Data Analyst needed for a fast-paced fintech startup. Core stack: Statistics, Pandas, A/B Testing, Python, Machine Learning. Bonus points for Looker exposure.",26-Jul-2025,₹8L - ₹11L PA,IndeedSim
JOB00296,Operations Analyst,Williams Inc Analytics,Delhi,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: ETL, PostgreSQL, Airflow, SQL, Python. Nice to have: Looker.",Mar 2026,Rs 3L to 4L per annum,LinkedInSim
JOB00379,Data Analyst (Fresher),Moore Group Technologies,Bengaluru,"We are looking for a Data Analyst (Fresher) to join our analytics team. Must have hands-on experience with ETL, PostgreSQL, Airflow, SQL, Python. Prior internship experience preferred.",19-Jun-2026,,NaukriSim
JOB00294,Data Analyst,Good-Hodges Solutions,New Delhi,"Data Analyst needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for ETL exposure.",Aug 2025,,IndeedSim
JOB00470,Product Analyst,Hughes Inc Consulting,Remote,"Product Analyst needed for a fast-paced fintech startup. Core stack: Tableau, Data Warehousing, Snowflake, SQL. Bonus points for Excel exposure.",05-Aug-2025,5-6 LPA,IndeedSim
JOB00167,Reporting Analyst,Hurst Freeman and Nelson Systems,Delhi,"Join our growing data team! Skills needed: Statistics, Pandas, A/B Testing, Python, Machine Learning. Freshers with strong dbt, Excel fundamentals encouraged to apply.",Feb 2026,"INR 8,00,000 - 10,00,000",NaukriSim
JOB00478,Data Analyst - Entry Level,Bentley Lynch and Henderson Consulting,Remote,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Statistics, Pandas, A/B Testing, Python, Machine Learning. Nice to have: dbt, Power BI.",01/10/2025,,IndeedSim
JOB00674,Analytics Associate,Gray Hall and Murray Analytics,Noida,"We are looking for a Analytics Associate to join our analytics team. Must have hands-on experience with AWS, SQL, dbt, Python, Git. Prior internship experience preferred.",Aug 2025,"INR 5,00,000 - 7,00,000",InternshalaSim
JOB00323,Operations Analyst,Taylor and Sons Technologies,mumbai ,"Operations Analyst needed for a fast-paced fintech startup. Core stack: Stakeholder Management, Excel, Power BI, SQL. Bonus points for AWS, Machine Learning exposure.",Aug 2025,,InternshalaSim
JOB00452,Data Analyst (Fresher),Stanley PLC Technologies,Chennai,"We are looking for a Data Analyst (Fresher) to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.","18 March, 2026",Rs 8L to 9L per annum,NaukriSim
JOB00101,BI Analyst,Figueroa PLC Solutions,Bengaluru,"BI Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Data Warehousing exposure.",14-Oct-2025,"INR 7,00,000 - 10,00,000",InternshalaSim
JOB00749,Data Analyst,Hickman-Evans Labs,"hyderabad, TG","We are looking for a Data Analyst to join our analytics team. Must have hands-on experience with Excel, Communication Skills, VBA, PowerPoint. Prior internship experience preferred.",2026-03-07,3-4 LPA,NaukriSim
JOB00148,Marketing Data Analyst,Holmes Williams and Wright Analytics,Hyderabad,"Marketing Data Analyst needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for Azure, Power BI, Statistics exposure.","28 August, 2025",,LinkedInSim
JOB00178,Business Analyst,Walker-Jones Softwares,Mumbai,"Business Analyst needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for ETL, Statistics, Google Sheets exposure.","22 November, 2025",₹4L - ₹5L PA,InternshalaSim
JOB00081,BI Analyst,Sanchez Wheeler and Harvey Digital,Noida,"BI Analyst needed for a fast-paced fintech startup. Core stack: Stakeholder Management, Excel, Power BI, SQL. Bonus points for Snowflake exposure.",08-Jan-2026,₹6L - ₹9L PA,NaukriSim
JOB00518,Reporting Analyst,Hernandez Cole and Watson Analytics,Hyderabad,"Reporting Analyst needed for a fast-paced fintech startup. Core stack: Tableau, Data Warehousing, Snowflake, SQL. Bonus points for Communication Skills exposure.",2026-06-19,,LinkedInSim
JOB00578,Data Analyst,Brooks-Hatfield Technologies,mumbai ,"The ideal candidate is proficient in Tableau, Data Warehousing, Snowflake, SQL and can translate business questions into data-driven answers. Experience with Stakeholder Management, Pandas, VBA is a plus.",Nov 2025,,InternshalaSim
JOB00622,Junior Data Analyst,Morris-Brewer Technologies,Chennai,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with Advanced Excel, Snowflake is a plus.","10 November, 2025","INR 7,00,000 - 8,00,000",InternshalaSim
JOB00165,Data Analyst (Fresher),Castaneda-Ashley Softwares,bangalore,"The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with Azure is a plus.",07-Oct-2025,Rs 6L to 9L per annum,IndeedSim
JOB00204,Data Analyst,Beard Peters and Black Labs,remote,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: ETL, PostgreSQL, Airflow, SQL, Python. Nice to have: Communication Skills, A/B Testing.","29 April, 2026",,InternshalaSim
JOB00415,Data Analyst - Entry Level,Dixon Inc Consulting,bangalore,"The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with MySQL is a plus.",Aug 2025,₹4L - ₹6L PA,InternshalaSim
JOB00653,Operations Analyst,Cox Stark and Rodriguez Digital,pune,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong SQL fundamentals encouraged to apply.",May 2026,,NaukriSim
JOB00314,Reporting Analyst,Byrd-Le Softwares,Chennai,"The ideal candidate is proficient in Tableau, Data Warehousing, Snowflake, SQL and can translate business questions into data-driven answers. Experience with NumPy, Git, Google Sheets is a plus.",Jan 2026,Rs 4L to 5L per annum,NaukriSim
JOB00257,Data Analyst,Cordova Group Labs,Remote,"We are looking for a Data Analyst to join our analytics team. Must have hands-on experience with Statistics, Pandas, A/B Testing, Python, Machine Learning. Prior internship experience preferred.",2026-01-31,"INR 6,00,000 - 9,00,000",NaukriSim
JOB00237,Data Analyst - Entry Level,Warner-Gibson Softwares,New Delhi,"Data Analyst - Entry Level needed for a fast-paced fintech startup. Core stack: Statistics, Pandas, A/B Testing, Python, Machine Learning. Bonus points for GCP, NumPy exposure.","16 May, 2026",₹5L - ₹8L PA,NaukriSim
JOB00124,Business Analyst,Joyce Wilson and Lam Analytics,delhi ncr,"Business Analyst needed for a fast-paced fintech startup. Core stack: Stakeholder Management, Excel, Power BI, SQL. Bonus points for GCP, VBA, Communication Skills exposure.",02-Jul-2026,Rs 7L to 8L per annum,LinkedInSim
JOB00364,Data Analyst - Entry Level,Kelley Nguyen and Vang Analytics,New Delhi,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with SQL is a plus.",29-Oct-2025,₹6L - ₹7L PA,IndeedSim
JOB00076,Data Analyst - Entry Level,Daniels Adkins and Brown Softwares,Remote,"Data Analyst - Entry Level needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Excel exposure.",2026-05-13,,InternshalaSim
JOB00227,Product Analyst,Miller-Wright Digital,pune,"The ideal candidate is proficient in ETL, PostgreSQL, Airflow, SQL, Python and can translate business questions into data-driven answers. Experience with GCP, Data Warehousing is a plus.",10/10/2025,"INR 4,00,000 - 5,00,000",InternshalaSim
JOB00725,Junior Data Analyst,Wagner LLC Solutions,mumbai ,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Stakeholder Management, Excel, Power BI, SQL. Nice to have: Azure, MySQL.","06 February, 2026",Rs 7L to 8L per annum,InternshalaSim
JOB00106,Data Analyst - Entry Level,Nolan and Sons Analytics,Gurgaon,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Tableau, Data Warehousing, Snowflake, SQL. Nice to have: VBA, MySQL.",01/10/2025,₹7L - ₹10L PA,IndeedSim
JOB00104,Junior Data Analyst,Tran Jordan and Williams Digital,"Bengaluru, Karnataka","Junior Data Analyst needed for a fast-paced fintech startup. Core stack: AWS, SQL, dbt, Python, Git. Bonus points for Statistics, Power BI, PowerPoint exposure.","21 June, 2026",₹7L - ₹9L PA,InternshalaSim
JOB00095,Analytics Associate,Campbell-Clark Consulting,bangalore,"Join our growing data team! Skills needed: Excel, Communication Skills, VBA, PowerPoint. Freshers with strong MySQL fundamentals encouraged to apply.",05/06/2026,₹7L - ₹8L PA,IndeedSim
JOB00747,Analytics Associate,Ali PLC Analytics,Hyderabad,"The ideal candidate is proficient in Tableau, Data Warehousing, Snowflake, SQL and can translate business questions into data-driven answers. Experience with SQL is a plus.",21/06/2026,Rs 4L to 6L per annum,InternshalaSim
JOB00365,Junior Data Analyst,Phillips Wagner and Jordan Systems,New Delhi,"Join our growing data team! Skills needed: Tableau, Data Warehousing, Snowflake, SQL. Freshers with strong Machine Learning, A/B Testing fundamentals encouraged to apply.","15 January, 2026","INR 3,00,000 - 6,00,000",IndeedSim
JOB00256,Product Analyst,Johnson Miller and King Systems,Remote - India,"Join our growing data team! Skills needed: ETL, PostgreSQL, Airflow, SQL, Python. Freshers with strong Machine Learning, Statistics fundamentals encouraged to apply.","12 April, 2026",₹4L - ₹5L PA,InternshalaSim
